id,Model,weight,sources,perturbation,phenotype,expected_exists
58,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=1; IL10_e=0; IL21_e=0; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; GATA3=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
59,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=1; IL10_e=0; IL21_e=0; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
60,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=0; IL4_e=1; IL10_e=0; IL21_e=0; APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0,TCR=1,TBET=0; IFNG=0; GATA3=1; IL4=1; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
61,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=1; IL4_e=0; IL10_e=0; IL21_e=0; ; APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TCR=1,TBET=0; GATA3=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
62,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=1; IL4_e=0; IL10_e=0; IL21_e=0; APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TCR=1,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
63,MS15,1.0,TGFB_e=1; IFNG_e=0; IL2_e=1; IL4_e=0; IL10_e=0; IL21_e=0; APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TCR=1,TBET=0; IFNG=0; GATA3=1; IL4=1; FOXP3=0; RORGT=0; BCL6=0; IL9=0,false
64,MS15,1.0,APC=1; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL25_e=0; IL29_e=0; IL18_e=0; IFNB_e=0; IL23_e=0; IL27_e=0; IL6_e=0; IL15_e=0; DLL1=0; IL7_e=0,TBET=1; TCR=1,GATA3=1,false
65,MS15,1.0,APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TBET=1; TCR=1,FOXP3=1,false
66,MS15,1.0,APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TBET=1; TCR=1,RORGT=1,false
67,MS15,1.0,APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TBET=1; TCR=1,BCL6=1,false
68,MS15,1.0,APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,GATA3=1,TBET=1; IFNG=1,false
69,MS15,1.0,APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,FOXP3=1; TCR=1,TBET=1,false
70,MS15,1.0,APC=1; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL6_e=0; IL7_e=0; IL15_e=0; IL18_e=0; IL23_e=0; IL25_e=0; IL27_e=0; IL29_e=0; IL33_e=0; IL36_e=0,FOXP3=1; TCR=1,GATA3=1,false
71,P18,1.0,IL12_e=0; IL18_e=0; IL4_e=0; IL6_e=0; IL23_e=0; IL27_e=0; IFNG_e=1; TGFB_e=0; APC=0; DLL1=0; IFNA_e=0; IFNB_e=0; IL1_e=0; IL2_e=0; IL7_e=0; IL10_e=0; IL15_e=0; IL21_e=0; IL25_e=0; IL29_e=0; IL33_e=0; IL36_e=0,TCR=1,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
