index,BBM node,Model,Input in BBM,Our notation,Input in merge
316,CTNNB1,TGEN,,CTNNB1,
317,CYCLIN_D_c,TGEN,,CYCLINDc,
318,CYCS,TGEN,,CYCS,
319,DC,TGEN,,DC,
320,DLL_i,TGEN,input,DLL,input
321,DVL1,TGEN,,DVL1,
322,E2F1,TGEN,,E2F,
323,EGF,TGEN,input,EGF,input
324,EGFR,TGEN,,EGFR,
325,EIF4E,TGEN,,EIF4,
326,ERK_i,TGEN,,ERK,
327,ES,TGEN,input,ES,constant 1
328,ESR1,TGEN,,ESR1,
329,FADD,TGEN,,FADD,
330,FAS,TGEN,,FAS,
331,FASLG,TGEN,,FASLG,
332,FOXO1,TGEN,,FOXO1,
333,FOXO3,TGEN,,FOXO3,
334,FZD3,TGEN,,FZD,
335,GATA3,TGEN,,GATA3,
336,GRB2,TGEN,,GRB2,
337,GRB7,TGEN,,GRB7,
338,GSK3B,TGEN,,GSK3B,
339,HER2,TGEN,,HER2,
340,HER3,TGEN,,HER3,
341,HES1,TGEN,,HES1,
342,HEY1,TGEN,,HEY1,
343,HRAS,TGEN,,HRAS,
344,HSP90AA1,TGEN,,HSP90AA1,
345,IGF1,TGEN,input,IGF1,input
346,IGF1R,TGEN,,IGF1R,
347,IL1B,TGEN,,IL1B,
348,IL6,TGEN,,IL6,
349,IL6R,TGEN,,IL6R,
350,IL8,TGEN,,IL8,
351,INS,TGEN,input,INS,input
352,INSR,TGEN,,INSR,
353,IRS1,TGEN,,IRS1,
354,IVEBP1,TGEN,,EIF4EBP1,
355,JAK2,TGEN,,JAK2,
356,JUN,TGEN,,JUN,
357,KMT2D,TGEN,,KMT2D,
358,KRT14,TGEN,,KRT14,
359,LATS1,TGEN,,LATS1,
360,LCK,TGEN,,LCK,
361,MAPK8,TGEN,,MAPK8,
362,MCL1,TGEN,,MCL1,
363,MDM2,TGEN,,MDM2,
364,MEK_i,TGEN,,MEK,
365,MTORC1_c,TGEN,,mTORC1,
366,MTORC2_c,TGEN,,mTORC2_pm,
367,MYC,TGEN,,MYC,
368,MYOD1,TGEN,,MYOD1,
369,MYOG,TGEN,,MYOG,
370,NCID,TGEN,,NICD,
371,NEDD4L,TGEN,,NEDD4L,
372,NF1,TGEN,,NF1,
373,NF2,TGEN,,NF2,
374,NFKB1,TGEN,,NFKB,
375,NOS3,TGEN,,NOS3,
376,NOTCH1,TGEN,,NOTCH1,
377,NRG1,TGEN,input,NRG1,input
378,P21,TGEN,,p21,
379,P53,TGEN,,p53,
380,PAK1,TGEN,,PAK1,
381,PAK2,TGEN,,PAK2,
382,PAX7,TGEN,,PAX7,
383,PDPK1,TGEN,,PDK1_pm,
384,PG,TGEN,input,PG,input
385,PGR,TGEN,,PGR,
386,PI3K_c,TGEN,,PI3K,
387,PIM,TGEN,,PIM,constant 0
388,PIP3,TGEN,,PIP3,
389,PPARG,TGEN,,PPARG,
390,PRB,TGEN,,RB,
391,PRKAA2,TGEN,,PRKAA2,
392,PRKACA,TGEN,,PRKACA,
393,PTEN,TGEN,,PTEN,
394,RAC1,TGEN,,RAC1,
395,RAF1,TGEN,,RAF1,
396,RAS_i,TGEN,,RAS,
397,RELA,TGEN,,RELA,
398,RHEB,TGEN,,RHEB,
399,RND1,TGEN,,RND1,
400,S6K1,TGEN,,S6K,
401,SGK1,TGEN,,SGK1,
402,SOS1,TGEN,,SOS1,
403,SRC,TGEN,,SRC,
404,STAT1,TGEN,,STAT1,
405,STAT3,TGEN,,STAT3,
406,STAT5,TGEN,,STAT5,
407,STK11,TGEN,,STK11,
408,TCF4,TGEN,,TCF7L2,
409,TEAD1,TGEN,,TEAD1,
410,TRADD,TGEN,,TRADD,
411,TSC2,TGEN,,TSC2,
412,TWIST1,TGEN,,TWIST1,
413,WNT1,TGEN,,WNT1,input
414,YAP1,TGEN,,YAP1,
415,ABL1,TM,,ABL1,
416,ABL2,TM,,ABL2,
417,AKT_i,TM,,AKT,
418,APC,TM,,APC,
419,AXIN1,TM,,AXIN1,
