index,Regulator,Target,Sign,Model
705,PTEN_T,PTEN,positive,Z21
706,PTEN,PTEN_2,positive,Z21
707,PTEN_T_2,PTEN_2,positive,Z21
708,PTEN_T,PTEN_T,positive,Z21
709,PTEN_T_2,PTEN_T,positive,Z21
710,PTEN_T,PTEN_T_2,positive,Z21
711,PTEN_T_2,PTEN_T_2,positive,Z21
712,E2F,Proliferation,positive,Z21
713,MYC_targets,Proliferation,positive,Z21
714,E2F_2,Proliferation_2,positive,Z21
715,E2F,Proliferation_3,positive,Z21
716,E2F_2,Proliferation_3,positive,Z21
717,MYC_targets_2,Proliferation_3,positive,Z21
718,HER2HER3c,RAS,positive,Z21
719,HER2HER3c_2,RAS,positive,Z21
720,IGF1R,RAS,positive,Z21
721,IGF1R_2,RAS,positive,Z21
722,RAS_2,RAS,positive,Z21
723,RAS_3,RAS,positive,Z21
724,HER2HER3c,RAS_2,positive,Z21
725,HER2HER3c_2,RAS_2,positive,Z21
726,RAS,RAS_2,positive,Z21
727,RAS_3,RAS_2,positive,Z21
728,HER2HER3c_2,RAS_3,positive,Z21
729,RAS,RAS_3,positive,Z21
730,RAS_2,RAS_3,positive,Z21
731,mTORC1,S6K,positive,Z21
732,PDK1_ic,SGK1,positive,Z21
733,SGK1_T,SGK1,positive,Z21
734,mTORC2_ic,SGK1,positive,Z21
735,AKT,TSC2,negative,Z21
736,MAPK_2,TSC2,negative,Z21
737,SGK1,TSC2,negative,Z21
738,EIF4,Translation,positive,Z21
739,S6K,Translation,positive,Z21
740,CDK46,CYCLINDc,positive,Z21
741,CYCLINDc_2,CYCLINDc,positive,Z21
742,CyclinD,CYCLINDc,positive,Z21
743,CyclinD_2,CYCLINDc,positive,Z21
744,CDK46,CYCLINDc_2,positive,Z21
745,CYCLINDc,CYCLINDc_2,positive,Z21
746,CyclinD_2,CYCLINDc_2,positive,Z21
747,cycE_CDK2_T,cycE_CDK2,positive,Z21
748,p21_p27,cycE_CDK2,negative,Z21
749,E2F,cycE_CDK2_T,positive,Z21
750,E2F_2,cycE_CDK2_T,positive,Z21
751,MYC,CyclinD,positive,Z21
752,CyclinD_2,CyclinD,positive,Z21
753,MYC_2,CyclinD_2,positive,Z21
754,CyclinD,CyclinD_2,positive,Z21
755,Everolimus,mTORC1,negative,Z21
756,PRAS40,mTORC1,negative,Z21
757,TSC2,mTORC1,negative,Z21
758,Everolimus,mTORC2_ic,negative,Z21
759,mTORC2_ic,mTORC2_ic,positive,Z21
760,Everolimus,mTORC2_pm,negative,Z21
761,PIP3,mTORC2_pm,positive,Z21
762,PIP3_2,mTORC2_pm,positive,Z21
763,p21_T,p21_T,positive,Z21
764,p21_T_2,p21_T,positive,Z21
765,p21_T,p21_T_2,positive,Z21
766,p21_T_2,p21_T_2,positive,Z21
767,AKT,p21_p27,negative,Z21
768,PIM,p21_p27,negative,Z21
769,p21_p27_T,p21_p27,positive,Z21
770,FOXO3,p21_p27_T,positive,Z21
771,MYC,p21_p27_T,negative,Z21
772,MYC_2,p21_p27_T,negative,Z21
773,p21_T,p21_p27_T,positive,Z21
774,p21_T_2,p21_p27_T,positive,Z21
775,p27_T,p21_p27_T,positive,Z21
776,Rb_T,pRB,negative,Z21
777,CYCLINDc,pRB,positive,Z21
778,CYCLINDc_2,pRB,positive,Z21
779,pRB_2,pRB,positive,Z21
780,Rb_T,pRB_2,negative,Z21
781,CYCLINDc,pRB_2,positive,Z21
782,CYCLINDc_2,pRB_2,positive,Z21
783,cycE_CDK2,pRB_2,positive,Z21
784,pRB,pRB_2,positive,Z21
785,GRB2,ABL1,positive,TGEN
786,SRC,ABL1,positive,TGEN
787,ABL1,ABL2,positive,TGEN
788,IGF1,AKT,positive,TGEN
789,IGF1R,AKT,positive,TGEN
790,IRS1,AKT,positive,TGEN
791,mTORC2_pm,AKT,positive,TGEN
792,NRG1,AKT,positive,TGEN
793,PDK1_pm,AKT,positive,TGEN
794,PIP3,AKT,positive,TGEN
795,AXIN1,APC,positive,TGEN
796,DVL1,AXIN1,negative,TGEN
797,GSK3B,AXIN1,positive,TGEN
798,AKT,BAD,negative,TGEN
799,ERK,BAD,negative,TGEN
800,PAK1,BAD,negative,TGEN
801,PIM,BAD,negative,TGEN
802,BID,BAK1,positive,TGEN
803,BIM,BAK1,positive,TGEN
804,MCL1,BAK1,negative,TGEN
805,p53,BAK1,positive,TGEN
806,BID,BAX,positive,TGEN
807,BIM,BAX,positive,TGEN
808,MCL1,BAX,negative,TGEN
809,p53,BAX,positive,TGEN
810,BAD,BCL2,negative,TGEN
811,BIM,BCL2,negative,TGEN
812,CREB1,BCL2,positive,TGEN
813,ERK,BCL2,positive,TGEN
814,BAD,BCLXL,negative,TGEN
815,BIM,BCLXL,negative,TGEN
816,CREB1,BCLXL,positive,TGEN
817,CASP8,BID,positive,TGEN
818,BCL2,BIM,negative,TGEN
819,BCLXL,BIM,negative,TGEN
820,FOXO1,BIM,positive,TGEN
821,FOXO3,BIM,positive,TGEN
822,CASP9,CASP3,positive,TGEN
823,ERK,CASP8,negative,TGEN
824,FADD,CASP8,positive,TGEN
825,NF1,CASP8,positive,TGEN
826,SRC,CASP8,negative,TGEN
827,AKT,CASP9,negative,TGEN
828,BCLXL,CASP9,negative,TGEN
829,CASP3,CASP9,positive,TGEN
830,CASP8,CASP9,positive,TGEN
831,CYCS,CASP9,positive,TGEN
832,ERK,CASP9,negative,TGEN
833,PRKACA,CASP9,negative,TGEN
834,CASP3,CDKN2A,positive,TGEN
835,MYC,CDKN2A,negative,TGEN
836,SRC,CDKN2A,negative,TGEN
837,ABL2,CEBPB,positive,TGEN
838,CREB1,CEBPB,positive,TGEN
839,AKT,CREB1,positive,TGEN
840,PTEN,CREB1,negative,TGEN
841,DC,CTNNB1,negative,TGEN
842,SRC,CTNNB1,positive,TGEN
843,WNT1,CTNNB1,positive,TGEN
844,YAP1,CTNNB1,positive,TGEN
845,CDKN2A,CYCLINDc,negative,TGEN
846,ESR1,CYCLINDc,positive,TGEN
847,GSK3B,CYCLINDc,negative,TGEN
848,MYC,CYCLINDc,positive,TGEN
849,p21,CYCLINDc,negative,TGEN
850,TCF7L2,CYCLINDc,positive,TGEN
851,TEAD1,CYCLINDc,positive,TGEN
852,BAK1,CYCS,positive,TGEN
853,BAX,CYCS,positive,TGEN
854,APC,DC,positive,TGEN
855,GSK3B,DC,positive,TGEN
856,FZD,DVL1,positive,TGEN
857,NF1,DVL1,positive,TGEN
858,RB,E2F,negative,TGEN
859,EGF,EGFR,positive,TGEN
860,HER2,EGFR,positive,TGEN
861,HER3,EGFR,positive,TGEN
862,MEK,EGFR,negative,TGEN
863,EIF4EBP1,EIF4,negative,TGEN
864,MEK,ERK,positive,TGEN
865,AKT,ESR1,positive,TGEN
866,ES,ESR1,positive,TGEN
867,FOXO3,ESR1,positive,TGEN
868,KMT2D,ESR1,positive,TGEN
869,PGR,ESR1,positive,TGEN
870,FAS,FADD,positive,TGEN
871,TRADD,FADD,positive,TGEN
872,AKT,FAS,negative,TGEN
873,FASLG,FAS,positive,TGEN
874,p53,FAS,positive,TGEN
875,FASLG,FASLG,positive,TGEN
876,FOXO3,FASLG,positive,TGEN
877,p53,FASLG,positive,TGEN
878,AKT,FOXO1,negative,TGEN
879,SGK1,FOXO1,negative,TGEN
880,AKT,FOXO3,negative,TGEN
881,CREB1,FZD,positive,TGEN
882,WNT1,FZD,positive,TGEN
883,STAT1,GATA3,negative,TGEN
884,EGFR,GRB2,positive,TGEN
885,IRS1,GRB2,positive,TGEN
886,LATS1,GRB2,positive,TGEN
887,SRC,GRB2,positive,TGEN
888,INSR,GRB7,positive,TGEN
889,PRKACA,GRB7,negative,TGEN
890,AKT,GSK3B,negative,TGEN
891,ERK,GSK3B,negative,TGEN
892,EGF,HER2,positive,TGEN
893,HER3,HER2,positive,TGEN
894,HER2,HER3,positive,TGEN
895,NRG1,HER3,positive,TGEN
896,CASP3,HES1,negative,TGEN
897,NICD,HES1,positive,TGEN
898,NICD,HEY1,positive,TGEN
899,IGF1,HRAS,positive,TGEN
900,NF1,HRAS,negative,TGEN
901,PI3K,HRAS,positive,TGEN
902,SOS1,HRAS,positive,TGEN
903,PDK1_pm,HSP90AA1,negative,TGEN
904,ESR1,IGF1R,positive,TGEN
905,FOXO3,IGF1R,positive,TGEN
906,IGF1,IGF1R,positive,TGEN
907,INS,IGF1R,positive,TGEN
908,SRC,IGF1R,positive,TGEN
909,NOS3,IL1B,positive,TGEN
910,RELA,IL1B,positive,TGEN
911,IL1B,IL6,positive,TGEN
912,IL6,IL6,positive,TGEN
913,IL6,IL6R,positive,TGEN
914,STAT5,IL8,positive,TGEN
915,FOXO3,INSR,positive,TGEN
916,INS,INSR,positive,TGEN
917,IGF1R,IRS1,positive,TGEN
918,INSR,IRS1,positive,TGEN
919,S6K,IRS1,negative,TGEN
920,mTORC1,EIF4EBP1,negative,TGEN
921,ABL1,JAK2,positive,TGEN
922,IL6R,JAK2,positive,TGEN
923,IL8,JAK2,positive,TGEN
924,IRS1,JAK2,positive,TGEN
925,ERK,JUN,positive,TGEN
926,MAPK8,JUN,positive,TGEN
927,PPARG,JUN,positive,TGEN
928,RELA,JUN,positive,TGEN
929,AKT,KMT2D,negative,TGEN
930,PAX7,KMT2D,positive,TGEN
931,EGFR,KRT14,positive,TGEN
932,PAK2,KRT14,positive,TGEN
933,LCK,LATS1,positive,TGEN
934,NF2,LATS1,positive,TGEN
935,AKT,LCK,negative,TGEN
936,ERK,LCK,positive,TGEN
937,RAC1,MAPK8,positive,TGEN
938,RND1,MAPK8,positive,TGEN
939,ERK,MCL1,positive,TGEN
940,GSK3B,MCL1,negative,TGEN
941,AKT,MDM2,positive,TGEN
942,p53,MDM2,positive,TGEN
943,RAF1,MEK,positive,TGEN
944,IGF1,mTORC1,positive,TGEN
945,NRG1,mTORC1,positive,TGEN
946,RHEB,mTORC1,positive,TGEN
947,PIP3,mTORC2_pm,positive,TGEN
948,S6K,mTORC2_pm,negative,TGEN
949,CTNNB1,MYC,positive,TGEN
950,EIF4,MYC,positive,TGEN
951,ERK,MYC,positive,TGEN
952,ESR1,MYC,positive,TGEN
953,GSK3B,MYC,negative,TGEN
954,PIM,MYC,positive,TGEN
955,STAT3,MYC,positive,TGEN
956,ABL1,MYOD1,negative,TGEN
957,HES1,MYOD1,negative,TGEN
958,HEY1,MYOG,negative,TGEN
959,MYOD1,MYOG,positive,TGEN
960,NOTCH1,NICD,positive,TGEN
961,PRKACA,NEDD4L,negative,TGEN
962,S6K,NEDD4L,negative,TGEN
963,SGK1,NEDD4L,negative,TGEN
964,p53,NF1,positive,TGEN
965,TWIST1,NF1,negative,TGEN
966,NEDD4L,NF2,positive,TGEN
967,NOTCH1,NFKB,positive,TGEN
968,AKT,NOS3,positive,TGEN
969,HSP90AA1,NOS3,positive,TGEN
970,CTNNB1,NOTCH1,positive,TGEN
971,DLL,NOTCH1,positive,TGEN
972,LCK,NOTCH1,positive,TGEN
973,MDM2,NOTCH1,positive,TGEN
974,AKT,p21,negative,TGEN
975,ERK,p21,negative,TGEN
976,MYC,p21,negative,TGEN
977,MDM2,p53,negative,TGEN
978,TCF7L2,PAK1,positive,TGEN
979,RAC1,PAK2,positive,TGEN
980,SRC,PAK2,positive,TGEN
981,HES1,PAX7,negative,TGEN
982,HEY1,PAX7,negative,TGEN
983,MYOG,PAX7,negative,TGEN
984,NOTCH1,PAX7,positive,TGEN
985,IGF1R,PDK1_pm,positive,TGEN
986,PIP3,PDK1_pm,positive,TGEN
987,ERK,PGR,negative,TGEN
988,ESR1,PGR,negative,TGEN
989,PG,PGR,positive,TGEN
990,EGFR,PI3K,positive,TGEN
991,ESR1,PI3K,positive,TGEN
992,IGF1R,PI3K,positive,TGEN
993,INSR,PI3K,positive,TGEN
994,IRS1,PI3K,positive,TGEN
995,RAS,PI3K,positive,TGEN
996,STAT5,PIM,positive,TGEN
997,PI3K,PIP3,positive,TGEN
998,PTEN,PIP3,negative,TGEN
999,CEBPB,PPARG,positive,TGEN
1000,GATA3,PPARG,negative,TGEN
1001,CYCLINDc,RB,negative,TGEN
1002,PRKACA,PRKAA2,negative,TGEN
1003,STK11,PRKAA2,positive,TGEN
1004,AKT,PRKACA,positive,TGEN
1005,WNT1,PRKACA,positive,TGEN
1006,S6K,PTEN,positive,TGEN
1007,SRC,PTEN,negative,TGEN
1008,AKT,RAC1,negative,TGEN
1009,DVL1,RAC1,positive,TGEN
1010,PI3K,RAC1,positive,TGEN
1011,HRAS,RAF1,positive,TGEN
1012,RAS,RAF1,positive,TGEN
1013,IGF1,RAS,positive,TGEN
1014,PI3K,RAS,positive,TGEN
1015,SOS1,RAS,positive,TGEN
1016,NFKB,RELA,positive,TGEN
1017,PIM,RELA,positive,TGEN
1018,TSC2,RHEB,negative,TGEN
1019,DVL1,RND1,positive,TGEN
1020,GRB7,RND1,positive,TGEN
1021,mTORC1,S6K,positive,TGEN
1022,mTORC1,SGK1,positive,TGEN
1023,mTORC2_pm,SGK1,positive,TGEN
1024,PDK1_pm,SGK1,positive,TGEN
1025,GRB2,SOS1,positive,TGEN
1026,ABL1,SRC,positive,TGEN
1027,PRKACA,SRC,positive,TGEN
1028,JAK2,STAT1,positive,TGEN
1029,SRC,STAT1,positive,TGEN
1030,IL1B,STAT3,positive,TGEN
1031,JAK2,STAT3,positive,TGEN
1032,MAPK8,STAT3,positive,TGEN
1033,SRC,STAT3,positive,TGEN
1034,EGFR,STAT5,positive,TGEN
1035,JAK2,STAT5,positive,TGEN
1036,SRC,STAT5,positive,TGEN
1037,ERK,STK11,negative,TGEN
1038,CTNNB1,TCF7L2,positive,TGEN
1039,JUN,TCF7L2,positive,TGEN
1040,YAP1,TEAD1,positive,TGEN
1041,KRT14,TRADD,negative,TGEN
1042,AKT,TSC2,negative,TGEN
1043,ERK,TSC2,negative,TGEN
1044,GSK3B,TSC2,positive,TGEN
1045,PRKAA2,TSC2,positive,TGEN
1046,AKT,TWIST1,positive,TGEN
1047,ERK,TWIST1,positive,TGEN
1048,MAPK8,TWIST1,positive,TGEN
1049,PGR,WNT1,positive,TGEN
1050,WNT1,WNT1,positive,TGEN
1051,ABL1,YAP1,positive,TGEN
1052,LATS1,YAP1,negative,TGEN
1053,GRB2,ABL1,positive,TM
1054,RB,ABL1,negative,TM
1055,SRC,ABL1,positive,TM
1056,ABL1,ABL2,positive,TM
1057,IGF1,AKT,positive,TM
1058,IGF1R,AKT,positive,TM
1059,IRS1,AKT,positive,TM
1060,mTORC2_pm,AKT,positive,TM
1061,NRG1,AKT,positive,TM
1062,PDK1_pm,AKT,positive,TM
1063,PIP3,AKT,positive,TM
1064,AXIN1,APC,positive,TM
1065,DVL1,AXIN1,negative,TM
1066,GSK3B,AXIN1,positive,TM
1067,AKT,BAD,negative,TM
1068,ERK,BAD,negative,TM
1069,PAK1,BAD,negative,TM
1070,PIM,BAD,negative,TM
1071,BID,BAK1,positive,TM
1072,BIM,BAK1,positive,TM
1073,MCL1,BAK1,negative,TM
1074,p53,BAK1,positive,TM
1075,BID,BAX,positive,TM
1076,BIM,BAX,positive,TM
1077,MCL1,BAX,negative,TM
1078,p53,BAX,positive,TM
1079,BAD,BCL2,negative,TM
1080,BIM,BCL2,negative,TM
1081,CREB1,BCL2,positive,TM
1082,ERK,BCL2,positive,TM
1083,BAD,BCLXL,negative,TM
1084,BIM,BCLXL,negative,TM
1085,CREB1,BCLXL,positive,TM
1086,CASP8,BID,positive,TM
1087,BCL2,BIM,negative,TM
1088,BCLXL,BIM,negative,TM
1089,FOXO1,BIM,positive,TM
1090,FOXO3,BIM,positive,TM
1091,CASP9,CASP3,positive,TM
1092,ERK,CASP8,negative,TM
1093,FADD,CASP8,positive,TM
1094,NF1,CASP8,positive,TM
1095,SRC,CASP8,negative,TM
1096,AKT,CASP9,negative,TM
1097,BCLXL,CASP9,negative,TM
1098,CASP3,CASP9,positive,TM
1099,CASP8,CASP9,positive,TM
1100,CYCS,CASP9,positive,TM
1101,ERK,CASP9,negative,TM
1102,PRKACA,CASP9,negative,TM
1103,CASP3,CDKN2A,positive,TM
1104,MYC,CDKN2A,negative,TM
1105,SRC,CDKN2A,negative,TM
1106,ABL2,CEBPB,positive,TM
1107,CREB1,CEBPB,positive,TM
1108,AKT,CREB1,positive,TM
1109,PTEN,CREB1,negative,TM
1110,DC,CTNNB1,negative,TM
1111,SRC,CTNNB1,positive,TM
1112,WNT1,CTNNB1,positive,TM
1113,YAP1,CTNNB1,positive,TM
1114,CDKN2A,CYCLINDc,negative,TM
1115,EIF4,CYCLINDc,positive,TM
1116,ESR1,CYCLINDc,positive,TM
1117,FOXO3,CYCLINDc,positive,TM
1118,GSK3B,CYCLINDc,negative,TM
1119,IGF1,CYCLINDc,positive,TM
1120,KMT2D,CYCLINDc,positive,TM
1121,MYC,CYCLINDc,positive,TM
1122,NRG1,CYCLINDc,positive,TM
1123,p21,CYCLINDc,negative,TM
1124,TCF7L2,CYCLINDc,positive,TM
1125,TEAD1,CYCLINDc,positive,TM
1126,BAK1,CYCS,positive,TM
1127,BAX,CYCS,positive,TM
1128,APC,DC,positive,TM
1129,GSK3B,DC,positive,TM
1130,FZD,DVL1,positive,TM
1131,NF1,DVL1,positive,TM
1132,RB,E2F,negative,TM
1133,EGF,EGFR,positive,TM
1134,HER2,EGFR,positive,TM
1135,HER3,EGFR,positive,TM
1136,MEK,EGFR,negative,TM
1137,EIF4EBP1,EIF4,negative,TM
1138,MEK,ERK,positive,TM
1139,AKT,ESR1,positive,TM
1140,ES,ESR1,positive,TM
1141,FOXO3,ESR1,positive,TM
1142,KMT2D,ESR1,positive,TM
1143,PGR,ESR1,positive,TM
1144,FAS,FADD,positive,TM
1145,TRADD,FADD,positive,TM
1146,AKT,FAS,negative,TM
1147,FASLG,FAS,positive,TM
1148,p53,FAS,positive,TM
1149,FASLG,FASLG,positive,TM
1150,FOXO3,FASLG,positive,TM
1151,p53,FASLG,positive,TM
1152,AKT,FOXO1,negative,TM
1153,SGK1,FOXO1,negative,TM
1154,AKT,FOXO3,negative,TM
1155,CREB1,FZD,positive,TM
1156,WNT1,FZD,positive,TM
1157,STAT1,GATA3,negative,TM
1158,EGFR,GRB2,positive,TM
1159,IRS1,GRB2,positive,TM
1160,LATS1,GRB2,positive,TM
1161,SRC,GRB2,positive,TM
1162,INSR,GRB7,positive,TM
1163,PRKACA,GRB7,negative,TM
1164,AKT,GSK3B,negative,TM
1165,ERK,GSK3B,negative,TM
1166,EGF,HER2,positive,TM
1167,HER3,HER2,positive,TM
1168,HER2,HER3,positive,TM
1169,NRG1,HER3,positive,TM
1170,NICD,HES1,positive,TM
1171,NICD,HEY1,positive,TM
1172,IGF1,HRAS,positive,TM
1173,NF1,HRAS,negative,TM
1174,PIP3,HRAS,positive,TM
1175,SOS1,HRAS,positive,TM
1176,PDK1_pm,HSP90AA1,negative,TM
1177,ESR1,IGF1R,positive,TM
1178,FOXO3,IGF1R,positive,TM
1179,IGF1,IGF1R,positive,TM
1180,INS,IGF1R,positive,TM
1181,SRC,IGF1R,positive,TM
1182,NOS3,IL1B,positive,TM
1183,RELA,IL1B,positive,TM
1184,IL1B,IL6,positive,TM
1185,IL6,IL6,positive,TM
1186,IL6,IL6R,positive,TM
1187,STAT5,IL8,positive,TM
1188,FOXO3,INSR,positive,TM
1189,INS,INSR,positive,TM
1190,IGF1R,IRS1,positive,TM
1191,INSR,IRS1,positive,TM
1192,S6K,IRS1,negative,TM
1193,mTORC1,EIF4EBP1,negative,TM
1194,ABL1,JAK2,positive,TM
1195,IL6R,JAK2,positive,TM
1196,IL8,JAK2,positive,TM
1197,IRS1,JAK2,positive,TM
1198,ERK,JUN,positive,TM
1199,MAPK8,JUN,positive,TM
1200,PPARG,JUN,positive,TM
1201,RELA,JUN,positive,TM
1202,AKT,KMT2D,negative,TM
1203,PAX7,KMT2D,positive,TM
1204,EGFR,KRT14,positive,TM
1205,PAK2,KRT14,positive,TM
1206,LCK,LATS1,positive,TM
1207,NF2,LATS1,positive,TM
1208,AKT,LCK,negative,TM
1209,ERK,LCK,positive,TM
1210,RAC1,MAPK8,positive,TM
1211,RND1,MAPK8,positive,TM
1212,ERK,MCL1,positive,TM
1213,GSK3B,MCL1,negative,TM
1214,AKT,MDM2,positive,TM
1215,p53,MDM2,positive,TM
1216,RAF1,MEK,positive,TM
1217,IGF1,mTORC1,positive,TM
1218,NRG1,mTORC1,positive,TM
1219,PIM,mTORC1,positive,TM
1220,RHEB,mTORC1,positive,TM
1221,PIP3,mTORC2_pm,positive,TM
1222,S6K,mTORC2_pm,negative,TM
1223,CTNNB1,MYC,positive,TM
1224,EIF4,MYC,positive,TM
1225,ERK,MYC,positive,TM
1226,ESR1,MYC,positive,TM
1227,FOXO3,MYC,positive,TM
1228,GSK3B,MYC,negative,TM
1229,IGF1,MYC,positive,TM
1230,KMT2D,MYC,positive,TM
1231,NRG1,MYC,positive,TM
1232,PIM,MYC,positive,TM
1233,STAT3,MYC,positive,TM
1234,ABL1,MYOD1,negative,TM
1235,HES1,MYOD1,negative,TM
1236,HEY1,MYOG,negative,TM
1237,MYOD1,MYOG,positive,TM
1238,NOTCH1,NICD,positive,TM
1239,PRKACA,NEDD4L,negative,TM
1240,SGK1,NEDD4L,negative,TM
1241,p53,NF1,positive,TM
1242,TWIST1,NF1,negative,TM
1243,NEDD4L,NF2,positive,TM
1244,NOTCH1,NFKB,positive,TM
1245,AKT,NOS3,positive,TM
1246,HSP90AA1,NOS3,positive,TM
1247,CTNNB1,NOTCH1,positive,TM
1248,DLL,NOTCH1,positive,TM
1249,LCK,NOTCH1,positive,TM
1250,MDM2,NOTCH1,positive,TM
1251,AKT,p21,negative,TM
1252,ERK,p21,negative,TM
1253,MYC,p21,negative,TM
1254,MDM2,p53,negative,TM
1255,TCF7L2,PAK1,positive,TM
1256,RAC1,PAK2,positive,TM
1257,SRC,PAK2,positive,TM
1258,HES1,PAX7,negative,TM
1259,HEY1,PAX7,negative,TM
1260,MYOG,PAX7,negative,TM
1261,NOTCH1,PAX7,positive,TM
1262,IGF1R,PDK1_pm,positive,TM
1263,PIP3,PDK1_pm,positive,TM
1264,ERK,PGR,negative,TM
1265,ESR1,PGR,negative,TM
1266,PG,PGR,positive,TM
1267,EGFR,PI3K,positive,TM
1268,ESR1,PI3K,positive,TM
1269,IGF1R,PI3K,positive,TM
1270,INSR,PI3K,positive,TM
1271,IRS1,PI3K,positive,TM
1272,RAS,PI3K,positive,TM
1273,STAT5,PIM,positive,TM
1274,PI3K,PIP3,positive,TM
1275,PTEN,PIP3,negative,TM
1276,CEBPB,PPARG,positive,TM
1277,GATA3,PPARG,negative,TM
1278,CYCLINDc,RB,negative,TM
1279,PRKACA,PRKAA2,negative,TM
1280,STK11,PRKAA2,positive,TM
1281,AKT,PRKACA,positive,TM
1282,WNT1,PRKACA,positive,TM
1283,S6K,PTEN,positive,TM
1284,SRC,PTEN,negative,TM
1285,AKT,RAC1,negative,TM
1286,DVL1,RAC1,positive,TM
1287,PI3K,RAC1,positive,TM
1288,HRAS,RAF1,positive,TM
1289,RAS,RAF1,positive,TM
1290,IGF1,RAS,positive,TM
1291,PIP3,RAS,positive,TM
1292,SOS1,RAS,positive,TM
1293,NFKB,RELA,positive,TM
1294,PIM,RELA,positive,TM
1295,TSC2,RHEB,negative,TM
1296,DVL1,RND1,positive,TM
1297,GRB7,RND1,positive,TM
1298,mTORC1,S6K,positive,TM
1299,mTORC1,SGK1,positive,TM
1300,mTORC2_pm,SGK1,positive,TM
1301,PDK1_pm,SGK1,positive,TM
1302,GRB2,SOS1,positive,TM
1303,ABL1,SRC,positive,TM
1304,PRKACA,SRC,positive,TM
1305,JAK2,STAT1,positive,TM
1306,SRC,STAT1,positive,TM
1307,IL1B,STAT3,positive,TM
1308,JAK2,STAT3,positive,TM
1309,MAPK8,STAT3,positive,TM
1310,SRC,STAT3,positive,TM
1311,EGFR,STAT5,positive,TM
1312,JAK2,STAT5,positive,TM
1313,SRC,STAT5,positive,TM
1314,ERK,STK11,negative,TM
1315,CTNNB1,TCF7L2,positive,TM
1316,JUN,TCF7L2,positive,TM
1317,YAP1,TEAD1,positive,TM
1318,KRT14,TRADD,negative,TM
1319,AKT,TSC2,negative,TM
1320,ERK,TSC2,negative,TM
1321,GSK3B,TSC2,positive,TM
1322,PRKAA2,TSC2,positive,TM
1323,AKT,TWIST1,positive,TM
1324,ERK,TWIST1,positive,TM
1325,MAPK8,TWIST1,positive,TM
1326,ABL1,YAP1,positive,TM
1327,LATS1,YAP1,negative,TM
1328,GRB2,ABL1,positive,TT
1329,ABL1,ABL2,positive,TT
1330,EGF,AKT,positive,TT
1331,EGFR,AKT,positive,TT
1332,IGF1R,AKT,positive,TT
1333,IRS1,AKT,positive,TT
1334,mTORC2_pm,AKT,positive,TT
1335,PDK1_pm,AKT,positive,TT
1336,PIP3,AKT,positive,TT
1337,AXIN1,APC,positive,TT
1338,DVL1,AXIN1,negative,TT
1339,GSK3B,AXIN1,positive,TT
1340,AKT,BAD,negative,TT
1341,ERK,BAD,negative,TT
1342,PAK1,BAD,negative,TT
1343,PIM,BAD,negative,TT
1344,BID,BAK1,positive,TT
1345,BIM,BAK1,positive,TT
1346,MCL1,BAK1,negative,TT
1347,p53,BAK1,positive,TT
1348,BID,BAX,positive,TT
1349,BIM,BAX,positive,TT
1350,MCL1,BAX,negative,TT
1351,p53,BAX,positive,TT
1352,BAD,BCL2,negative,TT
1353,BIM,BCL2,negative,TT
1354,CREB1,BCL2,positive,TT
1355,ERK,BCL2,positive,TT
1356,BAD,BCLXL,negative,TT
1357,BIM,BCLXL,negative,TT
1358,CREB1,BCLXL,positive,TT
1359,CASP8,BID,positive,TT
1360,BCL2,BIM,negative,TT
1361,BCLXL,BIM,negative,TT
1362,FOXO1,BIM,positive,TT
1363,FOXO3,BIM,positive,TT
1364,CASP8,CASP3,positive,TT
1365,CASP9,CASP3,positive,TT
1366,ERK,CASP8,negative,TT
1367,FADD,CASP8,positive,TT
1368,SRC,CASP8,negative,TT
1369,AKT,CASP9,negative,TT
1370,CASP3,CASP9,positive,TT
1371,CASP8,CASP9,positive,TT
1372,CYCS,CASP9,positive,TT
1373,ERK,CASP9,negative,TT
1374,CASP3,CDKN2A,positive,TT
1375,MYC,CDKN2A,negative,TT
1376,SRC,CDKN2A,negative,TT
1377,ABL2,CEBPB,positive,TT
1378,AKT,CREB1,positive,TT
1379,SGK1,CREB1,positive,TT
1380,DC,CTNNB1,negative,TT
1381,WNT1,CTNNB1,positive,TT
1382,CDKN2A,CYCLINDc,negative,TT
1383,EIF4,CYCLINDc,positive,TT
1384,ERK,CYCLINDc,positive,TT
1385,ESR1,CYCLINDc,positive,TT
1386,FOXO3,CYCLINDc,positive,TT
1387,GSK3B,CYCLINDc,negative,TT
1388,IGF1,CYCLINDc,positive,TT
1389,KMT2D,CYCLINDc,positive,TT
1390,MYC,CYCLINDc,positive,TT
1391,NRG1,CYCLINDc,positive,TT
1392,p21,CYCLINDc,negative,TT
1393,TCF7L2,CYCLINDc,positive,TT
1394,TEAD1,CYCLINDc,positive,TT
1395,BAK1,CYCS,positive,TT
1396,BAX,CYCS,positive,TT
1397,APC,DC,positive,TT
1398,GSK3B,DC,positive,TT
1399,FZD,DVL1,positive,TT
1400,YAP1,DVL1,negative,TT
1401,RB,E2F,negative,TT
1402,EGF,EGFR,positive,TT
1403,HER2,EGFR,positive,TT
1404,HER3,EGFR,positive,TT
1405,MEK,EGFR,negative,TT
1406,RELA,EGFR,positive,TT
1407,EIF4EBP1,EIF4,negative,TT
1408,MEK,ERK,positive,TT
1409,AKT,ESR1,positive,TT
1410,ES,ESR1,positive,TT
