Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct
TGFB,TGFBR,positive,"AJ, MSM, N10",1,regulates,direct
TGFBR,PU1,positive,AJ,2,,indirect
TGFBR,SMAD2,positive,MSM,1,regulates,direct
TGFBR,SMAD3,positive,"AJ, N10",1,regulates,direct
TGFB_e,TGFBR,positive,"AJ, N10, P18",1,regulates,direct
THPOK,CD4,positive,MSM,1,regulates,direct
THPOK,CD8,negative,MSM,1,regulates,direct
THPOK,RUNX3,negative,MSM,1,regulates,direct
THPOK,THPOK,positive,MSM,1,regulates,direct
proliferation,IFNG,positive,"AJ, N10",4,,assumption
proliferation,IFNG_2,positive,"AJ, N10",4,,assumption
proliferation,IL10,positive,"AJ, N10",4,,assumption
proliferation,IL13,positive,AJ,4,,assumption
proliferation,IL17,positive,"AJ, N10",4,,assumption
proliferation,IL21,positive,"AJ, N10",4,,assumption
proliferation,IL22,positive,AJ,4,,assumption
proliferation,IL23,positive,N10,4,,assumption
proliferation,IL24,positive,AJ,4,,assumption
proliferation,IL25,positive,AJ,4,,assumption
proliferation,IL3,positive,AJ,4,,assumption
proliferation,IL31,positive,AJ,4,,assumption
proliferation,IL35,positive,AJ,4,,assumption
proliferation,IL4,positive,"AJ, N10",4,,assumption
proliferation,IL5,positive,AJ,4,,assumption
proliferation,IL6,positive,AJ,4,,assumption
proliferation,IL9,positive,AJ,4,,assumption
proliferation,TGFB,positive,"AJ, N10",4,,assumption
proliferation,proliferation,positive,"AJ, N10",4,,assumption
IL27R,NFAT,unknown,Fake,6,,
IL27R,IL27R,unknown,Fake,6,,
IL27R,TCR,unknown,Fake,6,,
IL27R,PRF1,unknown,Fake,6,,
IL27R,IL10,unknown,Fake,6,,
IL27R,NFKB,unknown,Fake,6,,
IL27R,IFNBR,unknown,Fake,6,,
IL27R,TGFBR,unknown,Fake,6,,
IL27R,IKB,unknown,Fake,6,,
IL27R,IL6R,unknown,Fake,6,,
IL27R,IL23,unknown,Fake,6,,
