Regulator,Target,Sign,Model,Confidence Rank,Constraint,Direct,is_kept
STAT1,TBET,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT1,TBET_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT1_2,BCL6,positive,AJ,1,regulates,direct,KEPT
STAT1_2,IRF1,positive,"AJ, N10",1,regulates,direct,KEPT
STAT1_2,SOCS1,positive,"MSM, MX, P18",1,regulates,direct,KEPT
STAT1_2,TBET,positive,"AJ, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT1_2,TBET_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT3,BCL6,positive,AJ,1,regulates,direct,KEPT
STAT3,CMAF,positive,AJ,1,regulates,direct,KEPT
STAT3,IL10,positive,"AJ, N10",1,regulates,direct,KEPT
STAT3,IL17,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT3,IL1R1,positive,AJ,4,,assumption ,KEPT
STAT3,IL21,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT3,IL22,positive,AJ,1,regulates,direct,KEPT
STAT3,IL23,positive,N10,1,regulates,direct in the network sense,KEPT
STAT3,IL23R,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT3,IL6,positive,AJ,1,regulates,direct,KEPT
STAT3,RORGT,positive,"AJ, MSM, N10, P18",1,regulates,direct,KEPT
STAT4,BCL6,positive,AJ,1,regulates,direct,KEPT
STAT4,IFNG,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT4,IFNG_2,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT4,IL18R,positive,AJ,1,regulates,direct in the network sense,KEPT
STAT4,IL21,positive,AJ,1,regulates,direct,KEPT
STAT4,TBET,positive,P18,1,regulates,direct,KEPT
STAT4,TBET_2,positive,P18,1,regulates,direct,KEPT
STAT5,BCL6,negative,AJ,1,regulates,direct,KEPT
STAT5,FOXP3,positive,"AJ, N10, P18",1,regulates,direct,KEPT
STAT5,GATA3,positive,P18,1,regulates,direct,KEPT
STAT5,IL17,negative,"AJ, N10, P18",1,regulates,direct,KEPT
STAT5,IL2RA,positive,"AJ, N10",1,regulates,direct,KEPT
STAT5,IL4,positive,AJ,1,regulates,direct,KEPT
STAT5,IL4RA_2,positive,N10,2,,indirect,KEPT
STAT5,RUNX3,positive,MSM,1,regulates,direct,KEPT
STAT5,STAT5_2,positive,"AJ, N10",0,necessary,,KEPT
STAT5,proliferation,positive,"AJ, N10",1,regulates,direct in the network sense,KEPT
STAT5_2,FOXP3,positive,P18,1,regulates,direct,KEPT
STAT5_2,GATA3,positive,P18,1,regulates,direct,KEPT
STAT5_2,IL17,negative,P18,1,regulates,direct,KEPT
STAT5_2,IL4RA_2,positive,N10,2,,indirect,KEPT
STAT5_2,RUNX3,positive,MSM,1,regulates,direct,KEPT
STAT5_2,proliferation,positive,"AJ, N10",1,regulates,direct in the network sense,KEPT
STAT6,FOXP3,negative,AJ,1,regulates,direct,KEPT
STAT6,GATA3,positive,"AJ, M06, MSM, MX, N10, P18",1,regulates,direct,KEPT
STAT6,IL12RB2,negative,"AJ, N10",2,,indirect,KEPT
STAT6,IL24,positive,AJ,1,regulates,direct,KEPT
STAT6,IL31,positive,AJ,1,regulates,direct,KEPT
STAT6,IL9,positive,AJ,1,regulates,direct,KEPT
TBET,BCL6,negative,"AJ, MS15",1,regulates,direct,KEPT
TBET,FOXP3,negative,MSM,1,regulates,direct,KEPT
TBET,GATA3,negative,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET,IFNG,positive,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET,IFNG_2,positive,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET,IL2,negative,"AJ, N10, P18",1,regulates,direct,KEPT
TBET,IL23R,negative,P18,1,regulates,direct,KEPT
TBET,IL4,negative,"AJ, MS15, N10",1,regulates,direct,KEPT
TBET,RORGT,negative,"MS15, MSM, P18",1,regulates,direct in the network sense,KEPT
TBET,TBET_2,positive,"AJ, M06, MS15, MSM, MX, N10, P18",0,necessary,,KEPT
TBET_2,BCL6,negative,"AJ, MS15",1,regulates,direct,KEPT
TBET_2,FOXP3,negative,MSM,1,regulates,direct,KEPT
TBET_2,GATA3,negative,"AJ, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET_2,IFNG,positive,"AJ, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET_2,IFNG_2,positive,"AJ, M06, MS15, MSM, MX, N10, P18",1,regulates,direct,KEPT
TBET_2,IL2,negative,"AJ, N10, P18",1,regulates,direct,KEPT
TBET_2,IL23R,negative,P18,1,regulates,direct,KEPT
TBET_2,IL4,negative,"AJ, MS15, N10",1,regulates,direct,KEPT
TBET_2,RORGT,negative,"MS15, MSM, P18",1,regulates,direct in the network sense,KEPT
TCR,IKB,negative,"AJ, N10",1,regulates,direct in the network sense,KEPT
TCR,IL7R,negative,MSM,1,regulates,direct in the network sense,KEPT
TCR,NFAT,positive,"AJ, MSM, MX, N10, P18",1,regulates,direct in the network sense,KEPT
TGFB,BCL6,negative,MS15,1,regulates,direct in the network sense,KEPT
TGFB,TGFBR,positive,"AJ, MSM, N10",1,regulates,direct,KEPT
TGFBR,PU1,positive,AJ,2,,indirect,KEPT
TGFBR,SMAD2,positive,MSM,1,regulates,direct,KEPT
TGFBR,SMAD3,positive,"AJ, N10",1,regulates,direct,KEPT
TGFB_e,TGFBR,positive,"AJ, N10, P18",1,regulates,direct,KEPT
THPOK,CD4,positive,MSM,1,regulates,direct,KEPT
THPOK,CD8,negative,MSM,1,regulates,direct,KEPT
THPOK,RUNX3,negative,MSM,1,regulates,direct,KEPT
THPOK,THPOK,positive,MSM,1,regulates,direct,KEPT
proliferation,IFNG,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IFNG_2,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL10,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL13,positive,AJ,4,,assumption,KEPT
proliferation,IL17,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL21,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL22,positive,AJ,4,,assumption,KEPT
proliferation,IL23,positive,N10,4,,assumption,KEPT
proliferation,IL24,positive,AJ,4,,assumption,KEPT
proliferation,IL25,positive,AJ,4,,assumption,KEPT
proliferation,IL3,positive,AJ,4,,assumption,KEPT
proliferation,IL31,positive,AJ,4,,assumption,KEPT
proliferation,IL35,positive,AJ,4,,assumption,KEPT
proliferation,IL4,positive,"AJ, N10",4,,assumption,KEPT
proliferation,IL5,positive,AJ,4,,assumption,KEPT
proliferation,IL6,positive,AJ,4,,assumption,KEPT
proliferation,IL9,positive,AJ,4,,assumption,KEPT
proliferation,TGFB,positive,"AJ, N10",4,,assumption,KEPT
proliferation,proliferation,positive,"AJ, N10",4,,assumption,KEPT
IL21R,IL21R,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL12R,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL18R,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL12RB2,unknown,Fake,6,,,TAKEN_OUT
IL21R,JAK1,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL21,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL23,unknown,Fake,6,,,TAKEN_OUT
IL21R,TBET,unknown,Fake,6,,,TAKEN_OUT
IL21R,THPOK,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL4RA_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,STAT1,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL33R,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL22,unknown,Fake,6,,,TAKEN_OUT
IL21R,IFNGR_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,IRF1,unknown,Fake,6,,,TAKEN_OUT
IL21R,STAT4,unknown,Fake,6,,,TAKEN_OUT
IL21R,IFNGR,unknown,Fake,6,,,TAKEN_OUT
IL21R,PU1,unknown,Fake,6,,,TAKEN_OUT
IL21R,EOMES,unknown,Fake,6,,,TAKEN_OUT
IL21R,CD8,unknown,Fake,6,,,TAKEN_OUT
IL21R,TBET_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,NFKB,unknown,Fake,6,,,TAKEN_OUT
IL21R,STAT6,unknown,Fake,6,,,TAKEN_OUT
IL21R,SMAD3,unknown,Fake,6,,,TAKEN_OUT
IL21R,STAT1_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL4,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL25,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL9,unknown,Fake,6,,,TAKEN_OUT
IL21R,TGFBR,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL5,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL1R,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL6,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL12RB1_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,RUNX3,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL17,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL4R,unknown,Fake,6,,,TAKEN_OUT
IL21R,CD4,unknown,Fake,6,,,TAKEN_OUT
IL21R,SMAD2,unknown,Fake,6,,,TAKEN_OUT
IL21R,proliferation,unknown,Fake,6,,,TAKEN_OUT
IL21R,NFAT,unknown,Fake,6,,,TAKEN_OUT
IL21R,STAT5_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,IRAK,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL2,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL2RA,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL13,unknown,Fake,6,,,TAKEN_OUT
IL21R,FOXP3,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL31,unknown,Fake,6,,,TAKEN_OUT
IL21R,PRF1,unknown,Fake,6,,,TAKEN_OUT
IL21R,ST2,unknown,Fake,6,,,TAKEN_OUT
IL21R,GZMB,unknown,Fake,6,,,TAKEN_OUT
IL21R,SOCS1,unknown,Fake,6,,,TAKEN_OUT
IL21R,STAT5,unknown,Fake,6,,,TAKEN_OUT
IL21R,TGFB,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL4R_2,unknown,Fake,6,,,TAKEN_OUT
IL21R,IL2R_2,unknown,Fake,6,,,TAKEN_OUT
