BBM node,Model,Input in original,Our notation,Input in merge
JAK2,MCF7,,JAK2,
JUN,MCF7,,JUN,
KMT2D,MCF7,,KMT2D,
KRT14,MCF7,,KRT14,
LATS1,MCF7,,LATS1,
LCK,MCF7,,LCK,
MAPK8,MCF7,,MAPK8,
MCL1,MCF7,,MCL1,
MDM2,MCF7,,MDM2,
MEK_i,MCF7,,MEK,
MTORC1_c,MCF7,,mTORC1,
MTORC2_c,MCF7,,mTORC2,
MYC,MCF7,,MYC,
MYOD1,MCF7,,MYOD1,
MYOG,MCF7,,MYOG,
NCID,MCF7,,NICD,
NEDD4L,MCF7,,NEDD4L,
NF1,MCF7,,NF1,
NF2,MCF7,,NF2,
NFKB1,MCF7,,NFKB,
NOS3,MCF7,,NOS3,
NOTCH1,MCF7,,NOTCH1,
NRG1,MCF7,input,NRG1,input
P21,MCF7,,p21,
P53,MCF7,,p53,
PAK1,MCF7,,PAK1,
PAK2,MCF7,,PAK2,
PAX7,MCF7,,PAX7,
PDPK1,MCF7,,PDK1_pm,
PG,MCF7,input,PG,input
PGR,MCF7,,PGR,
PI3K_c,MCF7,,PI3K,
PIM,MCF7,,PIM,
PIP3,MCF7,,PIP3,
PPARG,MCF7,,PPARG,
PRB,MCF7,,RB,
PRKAA2,MCF7,,PRKAA2,
PRKACA,MCF7,,PRKACA,
PTEN,MCF7,,PTEN,
RAC1,MCF7,,RAC1,
RAF1,MCF7,,RAF1,
RAS_i,MCF7,,RAS,
RELA,MCF7,,RELA,
RHEB,MCF7,,RHEB,
RND1,MCF7,,RND1,
S6K1,MCF7,,S6K,
SGK1,MCF7,,SGK1,
SOS1,MCF7,,SOS1,
SRC,MCF7,,SRC,
STAT1,MCF7,,STAT1,
STAT3,MCF7,,STAT3,
STAT5,MCF7,,STAT5,
STK11,MCF7,,STK11,
TCF4,MCF7,,TCF7L2,
TEAD1,MCF7,,TEAD1,
TRADD,MCF7,,TRADD,
TSC2,MCF7,,TSC2,
TWIST1,MCF7,,TWIST1,
WNT1,MCF7,input,WNT1,input
YAP1,MCF7,,YAP1,
ABL1,T47D,,ABL1,
ABL2,T47D,,ABL2,
AKT_i,T47D,,AKT,
APC,T47D,,APC,
AXIN1,T47D,,AXIN1,
BAD,T47D,,BAD,
BAK1,T47D,,BAK1,
BAX,T47D,,BAX,
BCL2,T47D,,BCL2,
BCLXL,T47D,,BCLXL,
BID,T47D,,BID,
BIM,T47D,,BIM,
CASP3,T47D,,CASP3,
CASP8,T47D,,CASP8,
CASP9,T47D,,CASP9,
CDKN2A,T47D,,CDKN2A,
CEBPB,T47D,,CEBPB,
CREB1,T47D,,CREB1,
CTNNB1,T47D,,CTNNB1,
CYCLIN_D_c,T47D,,CYCLINDc,
CYCS,T47D,,CYCS,
DC,T47D,,DC,
DLL_i,T47D,input,DLL,input
DVL1,T47D,,DVL1,
E2F1,T47D,,E2F,
EGF,T47D,input,EGF,input
EGFR,T47D,,EGFR,
EIF4E,T47D,,EIF4,
ERK_i,T47D,,ERK,
ES,T47D,input,ES,input
ESR1,T47D,,ESR1,
FADD,T47D,,FADD,
FAS,T47D,,FAS,
FASLG,T47D,,FASLG,
FOXO1,T47D,,FOXO1,
FOXO3,T47D,,FOXO3,
FZD3,T47D,,FZD3,
GATA3,T47D,,GATA3,
GRB2,T47D,,GRB2,
GRB7,T47D,,GRB7,
GSK3B,T47D,,GSK3B,
HER2,T47D,,HER2,
HER3,T47D,,HER3,
HES1,T47D,,HES1,
HEY1,T47D,,HEY1,
HRAS,T47D,,HRAS,
HSP90AA1,T47D,,HSP90AA1,
IGF1,T47D,input,IGF1,input
IGF1R,T47D,,IGF1R,
IL1B,T47D,,IL1B,
IL6,T47D,,IL6,
IL6R,T47D,,IL6R,
IL8,T47D,,IL8,
INS,T47D,input,INS,input
INSR,T47D,,INSR,
IRS1,T47D,,IRS1,
IVEBP1,T47D,,EIF4EBP1,
JAK2,T47D,,JAK2,
JUN,T47D,,JUN,
KMT2D,T47D,,KMT2D,
KRT14,T47D,,KRT14,
LATS1,T47D,,LATS1,
LCK,T47D,,LCK,
MAPK8,T47D,,MAPK8,
MCL1,T47D,,MCL1,
MDM2,T47D,,MDM2,
MEK_i,T47D,,MEK,
MTORC1_c,T47D,,mTORC1,
MTORC2_c,T47D,,mTORC2,
MYC,T47D,,MYC,
MYOD1,T47D,,MYOD1,
MYOG,T47D,,MYOG,
NCID,T47D,,NICD,
NEDD4L,T47D,,NEDD4L,
NF1,T47D,,NF1,
NF2,T47D,,NF2,
NFKB1,T47D,,NFKB,
NOS3,T47D,,NOS3,
NOTCH1,T47D,,NOTCH1,
NRG1,T47D,input,NRG1,input
P21,T47D,,p21,
P53,T47D,,p53,
PAK1,T47D,,PAK1,
PAK2,T47D,,PAK2,
PAX7,T47D,,PAX7,
