index,BS,HS,SS,BL,HL,SL,Z17,Z21,TGEN,MCF7,T47D,Our notation,Input in merge,Notes
138,,,,,,,,,CEBPB,CEBPB,CEBPB,CEBPB,,
139,,,,,,,,,CREB1,CREB1,CREB1,CREB1,,
140,,,,,,,,,CTNNB1,CTNNB1,CTNNB1,CTNNB1,,
141,,,,,,,,,CYCS,CYCS,CYCS,CYCS,,
142,,,,,,,,,DC,DC,DC,DC,,beta-catenin destruction complex
143,,,,,,,,,DVL1,DVL1,DVL1,DVL1,,
144,,,,,,,,,FADD,FADD,FADD,FADD,,
145,,,,,,,,,FAS,FAS,FAS,FAS,,
146,,,,,,,,,FASLG,FASLG,FASLG,FASLG,,
147,,,,,,,,,FOXO1,FOXO1,FOXO1,FOXO1,,
148,,,,,,,,,FZD3,FZD3,FZD3,FZD3,,
149,,,,,,,,,GATA3,GATA3,GATA3,GATA3,,
150,,,,,,,,,GRB2,GRB2,GRB2,GRB2,,
151,,,,,,,,,GRB7,GRB7,GRB7,GRB7,,
152,,,,,,,,,HES1,HES1,HES1,HES1,,
153,,,,,,,,,HEY1,HEY1,HEY1,HEY1,,
154,,,,,,,,,HRAS,HRAS,HRAS,HRAS,,
155,,,,,,,,,HSP90AA1,HSP90AA1,HSP90AA1,HSP90AA1,,
156,,,,,,,,,IL1B,IL1B,IL1B,IL1B,,
157,,,,,,,,,IL6,IL6,IL6,IL6,,
158,,,,,,,,,IL6R,IL6R,IL6R,IL6R,,
159,,,,,,,,,IL8,IL8,IL8,IL8,,
160,,,,,,,,,INSR,INSR,INSR,INSR,,
161,,,,,,,,,IRS1,IRS1,IRS1,IRS1,,
162,,,,,,,,,IVEBP1,IVEBP1,IVEBP1,EIF4EBP1,,the corect notation is 4EBP1 / EIF4EBP1
163,,,,,,,,,JAK2,JAK2,JAK2,JAK2,,
164,,,,,,,,,KRT14,KRT14,KRT14,KRT14,,
165,,,,,,,,,LATS1,LATS1,LATS1,LATS1,,
